entry_date,symbol,symbol_name,signal_perc,url
2019-07-02,COUP,Coupa Software Inc,96,https://www.barchart.com/story/news/chart-of-the-day/3281820/barchartcoms-chart-of-the-day-coupa-software
2019-07-01,PAYS,Paysign Inc,100,https://www.barchart.com/story/news/chart-of-the-day/3278393/barchartcoms-chart-of-the-day-paysign
2019-06-28,DECK,Deckers Outdoor Corp,72,https://www.barchart.com/story/news/chart-of-the-day/3267461/barchartcoms-chart-of-the-day-deckers-outdoor
2019-06-27,GSHD,Goosehead Insurance Inc Cl A,100,https://www.barchart.com/story/news/chart-of-the-day/3265228/barchartcoms-chart-of-the-day-goosehead-insurance
2019-06-26,INFO,IHS Markit Ltd,100,https://www.barchart.com/story/news/chart-of-the-day/3254807/barchartcoms-chart-of-the-day-ihs-markit
2019-06-25,HALL,Hallmark Fin Svc,96,https://www.barchart.com/story/news/chart-of-the-day/3250959/barchartcoms-chart-of-the-day-hallmark-financial-services
2019-06-24,HYGS,Hydrogenics Corp,100,https://www.barchart.com/story/news/chart-of-the-day/3243277/barchartcoms-chart-of-the-day-hydrogenics
2019-06-21,FRPT,Freshpet Inc CS,100,https://www.barchart.com/story/news/chart-of-the-day/3232900/barchartcoms-chart-of-the-day-freshpet
2019-06-20,SHOP,Shopify Inc,100,https://www.barchart.com/story/news/chart-of-the-day/3114068/barchartcoms-chart-of-the-day-shopify
2019-06-19,OUT,Outfront Media Inc,96,https://www.barchart.com/story/news/chart-of-the-day/2777561/barchartcoms-chart-of-the-day-outfront-media
2019-06-18,ZYXI,Zynex Inc,100,https://www.barchart.com/story/news/chart-of-the-day/2804986/barchartcoms-chart-of-the-day-zynex
2019-06-17,CINF,Cincinnati Financial,96,https://www.barchart.com/story/news/chart-of-the-day/2804814/barchartcoms-chart-of-the-day-cincinnati-financial
2019-06-10,OESX,Orion Energy Syst,96,https://www.barchart.com/story/news/chart-of-the-day/2630925/barchartcoms-chart-of-the-day-orion-energy-systems
2019-06-07,NSSC,Napco Sec Tech Inc,100,https://www.barchart.com/story/news/chart-of-the-day/2593426/barchartcoms-chart-of-the-day-napco-security-technologies
2019-06-06,CCI,Crown Castle International Corp,100,https://www.barchart.com/story/news/chart-of-the-day/2568762/barchartcoms-chart-of-the-day-crown-castle-international
2019-06-05,FTS,Fortis Inc,100,https://www.barchart.com/story/news/chart-of-the-day/2548386/barchartcoms-chart-of-the-day-fortis
2019-06-04,IDN,Intellicheck Mobilisia,100,https://www.barchart.com/story/news/chart-of-the-day/2527039/barchartcoms-chart-of-the-day-intelli-check-international
2019-06-03,HSY,Hershey Foods Corp,96,https://www.barchart.com/story/news/chart-of-the-day/2513822/barchartcoms-chart-of-the-day-hershey-foods
2019-05-31,OKTA,Okta Inc Cl A,100,https://www.barchart.com/story/news/chart-of-the-day/2474165/barchartcoms-chart-of-the-day-okta-inc
2019-05-30,BAH,Booz Allen Hamilton Holding Corp,80,https://www.barchart.com/story/news/chart-of-the-day/2450322/barchartcoms-chart-of-the-day-booz-allen-hamilton
2019-05-28,SLP,Simulations Plus Inc,100,https://www.barchart.com/story/news/chart-of-the-day/2404561/barchartcoms-chart-of-the-day-simulation-plus
